"","bladder","breast_cancer","cervical","head.n.neck","KIRC","KIRP","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"bladder",0.358914074498981,-0.222364216147024,0.130048026809645,-0.107549035022319,-0.497538975395286,-0.647535517703696,0.164824293628326,-0.10131333148951,0.365661803801422,0.332978556376493,-0.0670049006743094,0.148590871603786
"breast_cancer",-0.40337488511132,0.42938677270696,0.17969588269041,0.352289878576556,0.578211754376542,0.34315134913761,0.128741588566981,0.35448862737065,-0.395698504287712,-0.383397751282494,0.24660906237722,-0.246968556622534
"cervical",-0.29258883797967,0.346592288681098,0.252846800250438,0.343828648491239,0.400170693435229,0.0612625403535877,0.183217184299812,0.338084328876383,-0.283485023491562,-0.291634044752017,0.150052650025546,-0.202217420902659
"head.n.neck",0.375267864283339,-0.277841606564615,0.0547633829845475,-0.170421267838204,-0.524495074765725,-0.582116701815533,0.0944070347344051,-0.16875323027572,0.378566372207434,0.351097663518771,-0.113291574134609,0.174777057128933
"KIRC",-0.240898743422976,0.198588356677863,0.0130783720442045,0.142091643496971,0.405272657213446,0.419717345801345,-0.0181622385736147,0.118588208495978,-0.241000328836636,-0.224225849139871,0.0978806992381644,-0.0511053315538093
"KIRP",-0.466975478347389,0.295242634933807,-0.103029122780226,0.18665407844121,0.598397929560886,0.66035197846684,-0.169731122296939,0.168952051537485,-0.474536474570176,-0.44483080858842,0.0219689515520038,-0.227615524675398
"LUAD",0.136347430018429,0.11757051307089,0.411135755739789,0.21695037968895,-0.13313696678415,-0.600652425804295,0.408396652529399,0.228005694872241,0.155825678845714,0.118269299557998,0.1878129676521,-0.0102007110307711
"LUSC",-0.355023926296866,0.546782212418735,0.478341379546455,0.539031400521879,0.472578396404003,-0.169308556268874,0.419270481996631,0.565441769014068,-0.333105110523851,-0.34663772238356,0.378868671759477,-0.365749104900294
"PRAD",0.420402853711588,-0.315330883903106,0.0258125956843287,-0.216274000497905,-0.527806615758332,-0.496618076409478,0.079164355559038,-0.216700233808129,0.423096338909553,0.398766128723544,-0.0948444569234654,0.25595715118927
"STAD",0.393461976695876,-0.293091609565956,0.04513399027568,-0.18745893033001,-0.533436503245951,-0.563964925005815,0.0897394375255714,-0.185990970881804,0.396652407027451,0.370541445346876,-0.10909668864267,0.199775930449165
"THCA",-0.338520539728977,0.317209046150129,0.0165318258033424,0.199449052455363,0.529812133333034,0.53834091384004,0.00420244490520384,0.205465200579133,-0.335988467221879,-0.304646033509468,0.242601235927896,-0.162088685808339
"UCEC",-0.160569252180185,0.23412578180586,0.153129143489618,0.198900341294808,0.365073469006069,0.285136560773131,0.130164246082545,0.194309519522866,-0.153235005649466,-0.149796596397582,0.202597220928951,0.0174032999385115
