"Operon_ID","Gene","Product"
1,"yhxA","aminotransferase"
2,"glpP","glycerol-3-phosphate responding transcription antiterminator"
2,"glpF","glycerol permease"
3,"glpK","glycerol kinase"
4,"glpD","glycerol-3-phosphate oxidase"
5,"pgcA","alpha-phosphoglucomutase"
5,"yhcY","two-component sensor histidine kinase YhcZ"
5,"yhcZ","two-component response regulator YhcY"
6,"yhdA","oxidoreductase, NAD(P)H-FMN and ferric iron reductase"
7,"yhdB","hypothetical protein"
8,"yhdC","hypothetical protein"
9,"lytF","gamma-D-glutamate-meso-diaminopimelate muropeptidase"
10,"nsrR","NO-dependent activator of the ResDE regulon"
11,"ygxB","hypothetical protein"
12,"ctsR","transcriptional regulator"
13,"spoVR","spore cortex synthesis protein"
14,"phoA","alkaline phosphatase"
14,"lytE","cell wall hydrolase"
15,"mcsA","activator of protein kinase McsB"
16,"citR","transcriptional regulator CitR"
17,"citA","citrate synthase I"
18,"yhdF","NAD(P)-dependent dehydrogenase"
18,"ctrA","branched-chain amino acid transporter"
19,"mcsB","ATP:guanido phosphotransferase"
20,"yhdH","sodium-dependent transporter"
21,"yhdI","PLP-dependent transcriptional regulator"
22,"yhdJ","acetyltransferase"
22,"yhdK","negative regulator of the activity of sigma-M"
22,"yhdL","negative regulator of the activity of sigma-M"
23,"sigM","RNA polymerase sigma factor SigM"
24,"yhdN","aldo/keto reductase"
25,"plsC","1-acylglycerol-3-phosphate O-acyltransferase"
26,"yhdP","transporter or sensor"
27,"cueR","copper efflux transcriptional regulator"
28,"yhdR","aspartate aminotransferase"
28,"yhdT","hypothetical protein"
29,"clpC","class III stress response-related ATPase"
29,"crcBA","camphor resistance protein CrcB"
29,"yhdV","integral membrane protein"
30,"yhdW","glycerophosphodiester phosphodiesterase"
31,"yhdX","hypothetical protein"
32,"yhdY","hypothetical protein"
33,"yhdZ","NAD-dependent deacetylase"
34,"yheN","polysaccharide deacetylase"
35,"dat","D-alanine aminotransferase"
36,"nhaC","Na+/H+ antiporter"
37,"nhaX","stress response protein, UspA family"
38,"yheJ","hypothetical protein"
38,"yheI","ABC transporter ATP-binding protein"
39,"yheH","ABC transporter ATP-binding protein"
39,"yheG","NADH-flavin oxidoreductase"
40,"yheF","hypothetical protein"
41,"sspB","small acid-soluble spore protein"
42,"yheE","hypothetical protein"
42,"yheD","spore coat associated protein"
43,"yheC","spore coat associated protein"
44,"yheB","hypothetical protein"
45,"yheA","hypothetical protein"
46,"yhaZ","hypothetical protein"
47,"yhaX","hydrolase"
48,"hemZ","coproporphyrinogen III oxidase"
48,"yhaU","K+ efflux transporter"
49,"khtT","K+/H+ antiporter for K+ efflux"
50,"radA","DNA repair protein RadA"
51,"khtS","K+/H+ antiporter for K+ efflux"
52,"yhaR","enoyl-CoA hydratase"
53,"yhzD","hypothetical protein"
53,"natA","Na+-efflux ABC transporter ATP-binding protein"
54,"natB","sodium ABC transporter permease"
54,"yhaO","exonuclease"
55,"yhaN","DNA metabolism ATPase"
56,"yhaM","3'-5' exoribonuclease"
57,"yhaL","sporulation factor"
58,"prsA","molecular chaperone lipoprotein"
59,"yhzE","hypothetical protein"
60,"yhaJ","bacteriocin"
61,"yhaI","hypothetical protein"
62,"hpr","transcriptional regulator Hpr"
63,"yhaH","hypothetical protein"
64,"yhzF","hypothetical protein"
65,"trpP","tryptophan transporter"
66,"yacK","DNA integrity scanning protein DisA"
67,"serC","phosphoserine aminotransferase"
68,"hinT","Hit-family hydrolase"
68,"ecsA","ABC transporter ATP-binding protein"
68,"ecsB","ABC transporter membrane protein"
69,"ecsC","hydrolase"
70,"yhaA","amidohydrolase"
71,"yhfA","transporter"
71,"yhgB","hypothetical protein"
72,"yhgC","hypothetical protein"
73,"pbpF","penicillin-binding protein 2C required for spore germination"
73,"hemE","uroporphyrinogen decarboxylase"
74,"yacL","hypothetical protein"
74,"hemH","ferrochelatase"
75,"hemY","protoporphyrinogen oxidase"
76,"yhgD","transcriptional regulator"
77,"yhgE","methyl-accepting protein"
