"Operon_ID","Gene","Product"
1,"fabG","3-oxoacyl-ACP reductase"
2,"-","flavin-dependent oxidoreductase"
3,"-","hypothetical protein"
4,"dchpS","DchpS"
4,"-","hypothetical protein"
5,"-","hypothetical protein"
6,"-","acyl dehydratase"
7,"-","hypothetical protein"
8,"trh6","transcription regulator"
8,"gatB1","glutamyl-tRNA(Gln) amidotransferase subunit E"
9,"-","hypothetical protein"
9,"-","hypothetical protein"
9,"-","hypothetical protein"
10,"fumC","fumarate hydratase"
10,"-","hypothetical protein"
10,"rad2","flap endonuclease-1"
11,"-","hypothetical protein"
12,"-","hypothetical protein"
13,"ocd2","ornithine cyclodeaminase"
14,"-","hypothetical protein"
14,"-","H/ACA RNA-protein complex component Gar1"
14,"srp19","signal recognition particle"
15,"btuF","corrinoid ABC transporter substrate-binding protein"
15,"btuC","corrinoid ABC transporter permease"
16,"btuD","corrinoid ABC transporter ATPase"
17,"-","hypothetical protein"
18,"-","hypothetical protein"
19,"kinA1","signal-transducing histidine kinase-like protein"
20,"-","hypothetical protein"
21,"-","hypothetical protein"
22,"-","hypothetical protein"
22,"asnC","transcription regulator"
23,"suhB","hypothetical protein"
24,"-","hypothetical protein"
25,"-","hypothetical protein"
26,"-","hypothetical protein"
27,"-","hypothetical protein"
28,"-","hypothetical protein"
28,"rad3a","helicase"
28,"-","hypothetical protein"
29,"yvoF","acetyltransferase-like protein"
29,"-","hypothetical protein"
30,"-","hypothetical protein"
31,"-","hypothetical protein"
32,"-","hypothetical protein"
33,"-","hypothetical protein"
33,"-","phosphopantetheine adenylyltransferase"
34,"-","hypothetical protein"
35,"htr9","Htr9"
36,"-","carboxylate-amine ligase"
37,"-","hypothetical protein"
38,"trp1","ABC transport protein"
38,"-","hypothetical protein"
38,"-","hypothetical protein"
39,"-","hypothetical protein"
40,"-","hypothetical protein"
41,"trh1","transcription regulator"
42,"-","helicase"
43,"-","hypothetical protein"
44,"ush","UDP-sugar hydrolase"
45,"-","hypothetical protein"
46,"-","hypothetical protein"
46,"-","hypothetical protein"
47,"-","hypothetical protein"
48,"glyA","serine hydroxymethyltransferase"
49,"folD","bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase"
50,"-","hypothetical protein"
51,"-","hypothetical protein"
51,"-","hypothetical protein"
52,"-","hypothetical protein"
52,"-","hypothetical protein"
53,"-","hypothetical protein"
54,"-","hypothetical protein"
54,"-","hypothetical protein"
55,"-","hypothetical protein"
56,"htlA","HtlA"
57,"-","2-phospho-L-lactate transferase"
58,"-","hypothetical protein"
59,"dhs","deoxyhypusine synthase"
59,"rps17E","30S ribosomal protein S17"
60,"asd","aspartate-semialdehyde dehydrogenase"
60,"serA2","hypothetical protein"
61,"-","hypothetical protein"
62,"-","hypothetical protein"
62,"-","hypothetical protein"
63,"htr12","Htr12"
64,"hisD","histidinol dehydrogenase"
64,"-","hypothetical protein"
64,"-","hypothetical protein"
65,"-","hypothetical protein"
66,"-","hypothetical protein"
66,"yfkN","2',3'-cyclic-nucleotide 2'-phosphodiesterase"
67,"-","hypothetical protein"
68,"eif2bd","translation initiation factor eIF-2B subunit delta"
69,"-","hypothetical protein"
70,"-","hypothetical protein"
70,"-","hypothetical protein"
70,"-","hypothetical protein"
71,"-","hypothetical protein"
72,"-","hypothetical protein"
73,"crtB1","phytoene synthase"
74,"-","hypothetical protein"
74,"-","hypothetical protein"
75,"cdc48a","cell division cycle protein"
76,"blp","bacterio-opsin linked protein"
77,"bat","bacterio-opsin activator"
78,"hsp4","Hsp4"
79,"brp","bacteriorhodopsin-like protein"
80,"-","hypothetical protein"
81,"bop","bacterio-opsin"
82,"-","hypothetical protein"
82,"pri","DNA primase small subunit"
83,"-","hypothetical protein"
83,"cdc48b","cell division cycle protein"
84,"-","hypothetical protein"
85,"est","carboxylesterase"
85,"-","hypothetical protein"
86,"-","hypothetical protein"
87,"-","hypothetical protein"
88,"-","hypothetical protein"
89,"panB","3-methyl-2-oxobutanoate hydroxymethyltransferase"
90,"-","hypothetical protein"
91,"-","hypothetical protein"
92,"sat","serine acetyltransferase"
93,"acd5","acyl-CoA dehydrogenase"
94,"-","hypothetical protein"
95,"-","hypothetical protein"
96,"-","hypothetical protein"
97,"-","hypothetical protein"
98,"boa2","bacterio-opsin activator-like protein"
98,"-","hypothetical protein"
99,"rpa","replication factor A"
100,"-","hypothetical protein"
101,"purF","hypothetical protein"
101,"rpl37e","50S ribosomal protein L37"
101,"snp","snRNP-like protein"
102,"celM","endoglucanase"
103,"-","hypothetical protein"
104,"-","hypothetical protein"
105,"hel","DNA helicase"
106,"-","hypothetical protein"
107,"htr10","Htr10"
108,"pelA","cell division protein pelota"
109,"-","hypothetical protein"
110,"-","hypothetical protein"
111,"hpyA","HpyA"
111,"-","hypothetical protein"
112,"-","hypothetical protein"
112,"-","hypothetical protein"
113,"tdk","thymidine kinase"
114,"aup","acetoin utilization protein"
115,"-","hypothetical protein"
116,"-","hypothetical protein"
117,"mutY","A/G specific adenine glycosylase, repair protein"
