"Operon_ID","Gene","Product"
1,"HCP21_00000060","hypothetical protein"
2,"HCP21_00000140","hypothetical protein"
2,"HCP21_00000230","Molydopterin dinucleotide binding domain."
2,"HCP21_00000240","hypothetical protein"
3,"HCP21_00000300","Uncharacterized protein related to glutamine synthetase"
4,"HCP21_00000490","hypothetical protein"
4,"HCP21_00000710","hypothetical protein"
4,"HCP21_00000720","hypothetical protein"
4,"HCP21_00000800","Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit"
5,"HCP21_00000840","Putative NADH-flavin reductase"
5,"HCP21_00000950","23S"
5,"HCP21_00001110","hypothetical protein"
6,"HCP21_00001220","hypothetical protein"
6,"HCP21_00001240","N-acetylmuramoyl-L-alanine amidase"
6,"HCP21_00001250","hypothetical protein"
6,"HCP21_00001270","hypothetical protein"
6,"HCP21_00001390","Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit"
6,"HCP21_00001400","16S"
6,"HCP21_00001410","hypothetical protein"
6,"HCP21_00001480","MORN repeat."
6,"HCP21_00001520","hypothetical protein"
6,"HCP21_00001550","hypothetical protein"
6,"HCP21_00001670","hypothetical protein"
6,"HCP21_00001770","hypothetical protein"
7,"HCP21_00001880","hypothetical protein"
8,"HCP21_00002000","hypothetical protein"
9,"HCP21_00002010","hypothetical protein"
9,"HCP21_00002070","hypothetical protein"
10,"HCP21_00002080","hypothetical protein"
10,"HCP21_00002120","hypothetical protein"
11,"HCP21_00002180","hypothetical protein"
11,"HCP21_00002230","Trehalose-6-phosphatase"
12,"HCP21_00002260","hypothetical protein"
13,"HCP21_00002300","hypothetical protein"
14,"HCP21_00002360","hypothetical protein"
14,"HCP21_00002400","hypothetical protein"
14,"HCP21_00002570","hypothetical protein"
14,"HCP21_00002620","hypothetical protein"
14,"HCP21_00002720","hypothetical protein"
14,"HCP21_00002730","UBA/TS-N domain."
14,"HCP21_00002770","Protein kinase domain."
14,"HCP21_00002820","WD domain, G-beta repeat."
14,"HCP21_00003020","hypothetical protein"
14,"HCP21_00003030","ATPase components of ABC transporters with duplicated ATPase domains"
14,"HCP21_00003080","hypothetical protein"
14,"HCP21_00003200","Kinesin-like protein"
14,"HCP21_00003210","hypothetical protein"
14,"HCP21_00003260","hypothetical protein"
15,"HCP21_00003370","hypothetical protein"
16,"HCP21_00003390","hypothetical protein"
16,"HCP21_00003530","Phosphomannomutase"
16,"HCP21_00003720","Hsp70 protein."
17,"HCP21_00003730","Peptidase family M50."
17,"HCP21_00003860","hypothetical protein"
18,"HCP21_00003930","hypothetical protein"
19,"HCP21_00003940","hypothetical protein"
20,"HCP21_00003960","cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases"
21,"HCP21_00003970","hypothetical protein"
22,"HCP21_00003980","hypothetical protein"
22,"HCP21_00004140","ATPase components of ABC transporters with duplicated ATPase domains"
22,"HCP21_00004220","Kinesin-like protein"
22,"HCP21_00004240","MORN repeat."
22,"HCP21_00004330","hypothetical protein"
23,"HCP21_00004360","hypothetical protein"
24,"HCP21_00004420","hypothetical protein"
25,"HCP21_00004460","hypothetical protein"
26,"HCP21_00004500","hypothetical protein"
26,"HCP21_00004640","hypothetical protein"
26,"HCP21_00004890","Tubulin binding cofactor C."
26,"HCP21_00004920","hypothetical protein"
26,"HCP21_00004930","Short chain fatty acids transporter"
27,"HCP21_00004940","MORN repeat."
27,"HCP21_00005020","hypothetical protein"
28,"HCP21_00005160","small GTP-binding protein domain"
28,"HCP21_00005220","hypothetical protein"
28,"HCP21_00005300","hypothetical protein"
28,"HCP21_00005380","hypothetical protein"
29,"HCP21_00005440","hypothetical protein"
30,"HCP21_00005450","hypothetical protein"
31,"HCP21_00005470","23S"
31,"HCP21_00005510","hypothetical protein"
32,"HCP21_00005660","hypothetical protein"
32,"HCP21_00005670","Leishmanolysin."
32,"HCP21_00005860","SNARE domain."
32,"HCP21_00005910","hypothetical protein"
32,"HCP21_00005970","16S"
32,"HCP21_00005990","ABC-type multidrug transport system, ATPase and permease components"
33,"HCP21_00006020","Malic enzyme"
34,"HCP21_00006130","hypothetical protein"
34,"HCP21_00006210","hypothetical protein"
34,"HCP21_00006230","Nitroreductase"
34,"HCP21_00006350","Protein phosphatase 2C."
34,"HCP21_00006380","Adaptin N terminal region."
34,"HCP21_00006470","MORN repeat."
34,"HCP21_00006500","Myb-like DNA-binding domain."
34,"HCP21_00006530","Aspartokinases"
35,"HCP21_00006560","hypothetical protein"
35,"HCP21_00006800","hypothetical protein"
36,"HCP21_00006860","hypothetical protein"
36,"HCP21_00006910","hypothetical protein"
36,"HCP21_00006950","hypothetical protein"
37,"HCP21_00006980","hypothetical protein"
38,"HCP21_00007010","hypothetical protein"
38,"HCP21_00007020","hypothetical protein"
38,"HCP21_00007060","hypothetical protein"
38,"HCP21_00007110","hypothetical protein"
38,"HCP21_00007190","hypothetical protein"
38,"HCP21_00007320","23S"
38,"HCP21_00007460","hypothetical protein"
38,"HCP21_00007480","hypothetical protein"
38,"HCP21_00007500","hypothetical protein"
38,"HCP21_00007550","hypothetical protein"
38,"HCP21_00007660","hypothetical protein"
38,"HCP21_00007670","Predicted glycosyltransferases"
38,"HCP21_00007690","hypothetical protein"
39,"HCP21_00007720","WD domain, G-beta repeat."
40,"HCP21_00007760","hypothetical protein"
41,"HCP21_00007770","Serine/threonine protein kinase"
41,"HCP21_00007790","hypothetical protein"
41,"HCP21_00007810","Listeria-Bacteroides repeat domain (List_Bact_rpt)."
42,"HCP21_00007870","16S"
42,"HCP21_00007880","Cysteine-rich secretory protein family."
42,"HCP21_00007890","hypothetical protein"
42,"HCP21_00007930","hypothetical protein"
42,"HCP21_00007940","Ankyrin repeat."
42,"HCP21_00008020","hypothetical protein"
43,"HCP21_00008030","hypothetical protein"
44,"HCP21_00008190","hypothetical protein"
45,"HCP21_00008210","hypothetical protein"
46,"HCP21_00008230","hypothetical protein"
47,"HCP21_00008630","hypothetical protein"
48,"HCP21_00008660","Uncharacterized protein containing DHHC-type Zn finger"
49,"HCP21_00008730","hypothetical protein"
50,"HCP21_00008750","23S"
50,"HCP21_00008850","hypothetical protein"
50,"HCP21_00008870","hypothetical protein"
51,"HCP21_00008880","hypothetical protein"
52,"HCP21_00008990","hypothetical protein"
53,"HCP21_00009010","16S"
54,"HCP21_00009110","Protein kinase domain."
