"protein","clustering_coefficient"
"1810055G02Rik",0
"2810046L04Rik",0
"4922501C03Rik",NA
"4930572J05Rik",0
"9830001H06Rik",0.138888888888889
"A1CF",0.133333333333333
"A2M",0.0126984126984127
"AAGAB",1
"AATF",0.10952380952381
"ABCA1",0.110294117647059
"ABCA13",0
"ABCA2",0.666666666666667
"ABCA4",NA
"ABCB1",0.666666666666667
"ABCB7",0.333333333333333
"ABCC2",0.3
"ABCC8",0
"ABCD1",0.321428571428571
"ABCD3",0.128205128205128
"ABCD4",0.333333333333333
"ABCE1",0.25
"ABCF3",0.25
"ABCG1",NA
"ABCG5",NA
"ABHD16A",0.136363636363636
"ABI1",0.158333333333333
"ABI2",0.158333333333333
"ABI3",0.0384615384615385
"ABL1",0.0739076154806492
"ABL2",0.155555555555556
"ABLIM1",0.131868131868132
"ABLIM3",NA
"ABTB1",NA
"ABTB2",0.6
"ACACA",0.257575757575758
"ACADVL",0
"ACAN",0.0666666666666667
"ACAP1",NA
"ACCN1",0.333333333333333
"ACCN2",0
"ACCN3",0.0952380952380952
"ACCS",NA
"ACD",0.857142857142857
"ACHE",0
"ACIN1",0.373626373626374
"ACO1",0.666666666666667
"ACP1",0.177777777777778
"ACP5",0
"ACP6",0.111111111111111
"ACPP",NA
"ACSM3",NA
"ACTA1",0.0471153846153846
"ACTA2",0.25
"ACTB",0.0619122257053292
"ACTC1",0.191666666666667
"ACTG1",0.115151515151515
"ACTL6A",0.247340425531915
"ACTL6B",0.266666666666667
"ACTN1",0.0705882352941176
"ACTN2",0.0615384615384615
"ACTN3",1
"ACTN4",0.083743842364532
"ACTR1A",0.179487179487179
"ACTR3",0.208333333333333
"ACTR3B",0.0757575757575758
"ACTR5",0.825
"ACTR8",0.923809523809524
"ACVR1",0.0196078431372549
"ACVR1B",0.204678362573099
"ACVR2A",0.136363636363636
"ACVR2B",0.131868131868132
"ACVRL1",0
"ACY1",1
"ADA",0.2
"ADAM10",0.3
"ADAM11",NA
"ADAM12",0
"ADAM15",0.222222222222222
"ADAM17",0.3
"ADAM19",0
"ADAM2",0
"ADAM22",1
"ADAM9",0.4
"ADAMTS1",0
"ADAMTSL4",0.163636363636364
"ADAP1",0.166666666666667
"ADAP2",0
"ADAR",0.428571428571429
"ADARB1",0.5
"ADCY2",NA
"ADCY5",0
"ADCY6",0.333333333333333
"ADCYAP1",1
"ADD1",0.205882352941176
"ADH5",0.6
"ADH7",NA
"ADI1",0.333333333333333
"ADNP",0.511111111111111
"ADORA1",0.1
"ADORA2A",0
"ADRA1B",NA
"ADRA2B",0
"ADRA2C",0
"ADRB1",0
"ADRB2",0.108225108225108
"ADRB3",NA
"ADRBK1",0.0833333333333333
"ADRBK2",0.3
"ADRM1",0.397058823529412
"AEBP2",0.527777777777778
"AES",0.139705882352941
"AFAP1",0
"AFF1",0.278947368421053
"AFF4",0.577777777777778
"AFP",0
"AGA",NA
"AGAP2",0
"AGFG1",0.194444444444444
"AGFG2",0.333333333333333
"AGL",0.4
"AGPS",0.666666666666667
"AGR2",0
"AGR3",0
"AGRP",NA
"AGT",0.166666666666667
"AGTR1",0.0555555555555556
"AGTR2",0
"AGTRAP",0.133333333333333
"AGXT2L2",NA
"AHR",0.252307692307692
"AHRR",0.6
"AHSP",0
"AI837181",0.00563236047107015
"AICDA",0.0476190476190476
"AIF1",1
"AIFM1",0.0541310541310541
"AIMP1",0.5
"AIMP2",0.0722689075630252
"AIP",0.272727272727273
"AIPL1",NA
"AIRE",0.0541062801932367
"AJAP1",1
"AJUBA",0.214285714285714
"AK1",0.4
"AK4",NA
"AKAP1",0.2
"AKAP11",0.277777777777778
"AKAP12",0.25
"AKAP13",0.142857142857143
"AKAP14",NA
"AKAP17A",0.2
"AKAP2",1
"AKAP3",0.133333333333333
"AKAP4",0.1
"AKAP5",0.136363636363636
"AKAP6",0.142857142857143
"AKAP8",0.0897435897435897
"AKAP8L",0.256410256410256
"AKAP9",0.108225108225108
"AKIP1",0.2
"AKIRIN2",0.333333333333333
"AKR1A1",1
"AKR1B10",NA
"AKR1C2",NA
"AKR1C3",0.266666666666667
"AKR7A2",0.333333333333333
"AKR7A3",NA
"AKT1",0.055850279988211
"AKT2",0.164835164835165
"AKT3",0.19047619047619
"AKTIP",0.00865800865800866
"ALAS2",0
"ALB",0.116666666666667
"ALCAM",0
"ALDH1A1",NA
"ALDH2",0.218181818181818
"ALG10B",1
"ALG2",0.256410256410256
"ALK",0.0301974448315912
"ALKBH1",1
"ALL1",0.529411764705882
"ALOX12",0
"ALOX5",0
"ALPI",0
"ALS2CL",1
"ALX1",NA
"ALX4",0
"AMBP",0.142857142857143
"AMBRA1",0.252747252747253
"AMD1",NA
"AMFR",0.0701484895033282
"AMIGO1",1
"AMIGO2",0.333333333333333
"AMIGO3",1
"AMOT",0.0769230769230769
"AMOTL2",0.222222222222222
"AMPH",0.071301247771836
"AMY1A",0
"ANAPC1",0.377016129032258
"ANAPC10",0.233766233766234
"ANAPC11",0.475
"ANAPC13",0
"ANAPC16",0.196969696969697
"ANAPC2",0.330049261083744
"ANAPC4",0.40530303030303
"ANAPC5",0.289772727272727
"ANAPC7",0.329545454545455
"ANGPTL4",0.833333333333333
"ANGPTL7",NA
"ANK1",0.0555555555555556
"ANK3",0.107142857142857
"ANKRA2",0.136363636363636
"ANKRD1",0.666666666666667
"ANKRD11",0.666666666666667
"ANKRD12",0
"ANKRD13B",1
"ANKRD2",0.107142857142857
"ANKRD23",1
"ANKRD24",0
"ANKRD32",1
"ANKRD55",NA
"ANKRD6",0.333333333333333
"ANKS1A",0.666666666666667
"ANKS1B",0
"ANKZF1",0
"ANP32A",0.263157894736842
"ANTXR2",NA
"ANXA1",0.0890756302521008
"ANXA11",0.115384615384615
"ANXA2",0.137566137566138
"ANXA3",0.2
"ANXA4",0.178571428571429
"ANXA5",0.142857142857143
"ANXA6",0.136363636363636
"ANXA7",0.0188118811881188
"ANXA9",0.166666666666667
"AP1B1",0.233333333333333
"AP1G1",0.147368421052632
"AP1G2",0.238095238095238
"AP1M1",0.111111111111111
"AP1M2",0.236363636363636
"AP1S1",0.214285714285714
"AP1S2",0.666666666666667
"AP2A1",0.116666666666667
"AP2A2",0.219047619047619
"AP2B1",0.0766488413547237
"AP2M1",0.0444444444444444
"AP2S1",0.2
"AP3B1",0.321428571428571
"AP3S1",1
"AP3S2",0.4
"AP4B1",0.5
"AP4E1",0.333333333333333
"AP4M1",0.666666666666667
"APAF1",0.272727272727273
"APBA1",0.196969696969697
"APBA2",0.0222222222222222
"APBB1",0.0610576923076923
"APBB2",1
"APBB3",0
"APC",0.0267067003792668
"APC11",NA
"APC2",0.408333333333333
"APCS",0.0444444444444444
"APEH",0.666666666666667
"APEX1",0.251461988304094
"APEX2",0.177777777777778
"APH1A",1
"APIP",0.2
"APITD1",0.571428571428571
"APLF",0.666666666666667
"APLP1",0.0315315315315315
"APLP2",0.131868131868132
"APOA1",0.00476190476190476
"APOA1BP",0.5
"APOA2",0
"APOB",0.0523076923076923
"APOBEC1",0.0952380952380952
"APOBEC2",NA
"APOBEC3G",0.333333333333333
"APOC1",0
"APOC2",NA
"APOD",0
"APOE",0.138888888888889
"APOF",0
"APOH",0.111111111111111
"APOL1",NA
"APP",0.0570824524312896
"APPBP2",0.0631578947368421
"APPL1",0.378787878787879
"APPL2",0.4
"APTX",0.666666666666667
"AQP1",0
"AQP2",NA
"AQP3",1
"AQP5",NA
"AR",0.0593051255589955
"ARAF",0.0984615384615385
"ARAP1",0.142857142857143
"ARAP3",1
"ARCN1",0.4
"ARF1",0.0645161290322581
"ARF3",0.0952380952380952
"ARF5",0.5
"ARF6",0.0985221674876847
"ARFGAP1",0.238095238095238
"ARFGEF1",0.533333333333333
"ARFGEF2",0.321428571428571
"ARFIP1",0.466666666666667
"ARFIP2",0.163636363636364
"ARHGAP1",0.333333333333333
"ARHGAP10",0.4
"ARHGAP15",0
"ARHGAP17",0.161764705882353
"ARHGAP26",0.4
"ARHGAP27",0.666666666666667
"ARHGAP32",0.173160173160173
"ARHGAP35",0.466666666666667
"ARHGAP44",0.333333333333333
"ARHGAP5",0.2
"ARHGDIA",0.111020408163265
"ARHGDIB",0.25
"ARHGDIG",0
"ARHGEF1",0.175824175824176
"ARHGEF11",0.25
"ARHGEF12",0.333333333333333
"ARHGEF15",0.1
"ARHGEF18",0
"ARHGEF2",0.266666666666667
"ARHGEF25",0.333333333333333
"ARHGEF3",0.166666666666667
"ARHGEF4",0
"ARHGEF40",0.666666666666667
"ARHGEF6",0.166666666666667
"ARHGEF7",0.141025641025641
"ARHGEF9",0.4
"ARID1A",0.319073083778966
"ARID1B",0.431372549019608
"ARID2",0.514705882352941
"ARID3A",0
"ARID4A",0.312252964426877
"ARID4B",0.672727272727273
"ARIH1",0.4
"ARIH2",0.0526315789473684
"ARL1",0.194444444444444
"ARL15",0.10989010989011
"ARL2",0.227272727272727
"ARL2BP",0.3
"ARL3",0.145454545454545
"ARL4A",1
"ARL4D",0.115384615384615
"ARL5A",0.5
"ARL6",0.19047619047619
"ARL6IP1",0.166666666666667
"ARL6IP5",0.333333333333333
"ARL8B",0.666666666666667
"ARMC7",0
"ARMCX3",0.4
"ARNT",0.199275362318841
"ARNTL",0.316017316017316
"ARPC1B",0.333333333333333
"ARPC2",0.619047619047619
"ARPC3",0.183333333333333
"ARPC5",0.333333333333333
"ARPC5L",0.4
"ARR3",0.176190476190476
"ARRB1",0.0260311020960108
"ARRB2",0.0192705068375473
"ARRDC1",0.428571428571429
"ARRDC2",NA
"ARRDC3",0.2
"ARSA",NA
"ARSE",0
"ARTN",NA
"ARVCF",0.5
"ASAH1",0.4
"ASAP1",0.274509803921569
"ASAP2",0.311111111111111
"ASB1",1
"ASB12",0.333333333333333
"ASB2",0.378787878787879
"ASB3",0.2
"ASB4",0.2
"ASB6",0.666666666666667
"ASB7",0.333333333333333
"ASB8",0.333333333333333
"ASB9",0.357142857142857
"ASCC1",0.7
"ASCC2",0.0570570570570571
"ASCC3",0.266666666666667
"ASCL1",0.666666666666667
"ASCL2",0.533333333333333
"ASF1A",0.182336182336182
"ASF1B",0.142857142857143
"ASGR1",0
"ASGR2",NA
"ASH1L",0.333333333333333
"ASH2L",0.198228128460687
"ASL",1
"ASMTL",0
"ASPA",NA
"ASPSCR1",0.333333333333333
"ASS1",0.238095238095238
"ASUN",0.5
"ASXL1",0.333333333333333
"ASZ1",NA
"ATAD2",0.242424242424242
"ATAD5",0.444444444444444
"ATCAY",NA
"ATF1",0.333333333333333
"ATF2",0.215873015873016
"ATF3",0.267692307692308
"ATF4",0.131034482758621
"ATF5",0.2
"ATF6",0.384615384615385
"ATF7",0.107142857142857
"ATF7IP",0.275
"ATF7IP2",0.333333333333333
"ATG10",0.181818181818182
"ATG12",0.168421052631579
"ATG13",0.5
"ATG14",0.8
"ATG16L1",0.217948717948718
"ATG2A",0.0181818181818182
"ATG3",0.309941520467836
"ATG4B",0.248366013071895
"ATG4C",0.422222222222222
"ATG5",0.333333333333333
"ATG7",0.3
"ATIC",0.0879120879120879
"ATL1",0
"ATM",0.0998632010943913
"ATN1",0.0952380952380952
"ATOX1",0.666666666666667
"ATP1A1",0.142857142857143
"ATP1B1",0.0761904761904762
"ATP2A2",0.109090909090909
"ATP2B2",0.0952380952380952
"ATP2B4",0.142857142857143
"ATP5C1",0.0666666666666667
"ATP5J2",0.0916666666666667
"ATP6AP1",0.166666666666667
"ATP6AP2",0.333333333333333
"ATP6V0A4",NA
"ATP6V0C",0
"ATP6V0D2",NA
"ATP6V1E1",0.138888888888889
"ATP6V1F",0
"ATP6V1G2",NA
"ATP6V1H",1
"ATP7A",0.666666666666667
"ATP7B",0.5
"ATPAF1",0.666666666666667
"ATPIF1",0.333333333333333
"ATR",0.12233589087809
"ATRIP",0.285714285714286
"ATRNL1",NA
"ATRX",0.0978260869565217
"ATXN1",0.132352941176471
"ATXN1L",0.333333333333333
"ATXN2",0.333333333333333
"ATXN3",0.141176470588235
"ATXN3L",NA
"ATXN7",0.0273865414710485
"ATXN7L3",0.857142857142857
"AUH",NA
"AUP1",0.106666666666667
"AURKA",0.112698412698413
"AURKB",0.114102564102564
"AURKC",0.3
"AVEN",0.833333333333333
"AVPR2",0.305555555555556
"AXIN1",0.148648648648649
"AXIN2",0.476190476190476
"AXL",0.422222222222222
"AZI1",0.194444444444444
"AZI2",0.269230769230769
"Actb",0.0476190476190476
"Actr1a",0.0222222222222222
"Acvr1b",NA
"Adrb3",NA
"Adrbk1",1
"Adrm1",NA
"Agrn",NA
"Aif1l",0
"Akap1",1
"Akap12",0
"Akap9",1
"Akt1",0.666666666666667
"Alg2",0
"Amph",0.333333333333333
"Anapc1",0.43956043956044
"Anapc13",0.555555555555556
"Anapc16",0.611111111111111
"Anapc2",0.527272727272727
"Anapc5",0.428571428571429
"Ankmy2",NA
"Anln",NA
"Ap2a1",0.333333333333333
"Apbb1",0.3
"Apc",0
"Apc2",0
"Ar",0
"Arhgdia",0
"Arl3",NA
"Arrb2",0.4
"Asb4",NA
"At3g12630",NA
"Atf2",1
"Atf4",NA
"Atm",0.285714285714286
"Atp1a1",0
"Atr",0
"Aurka",NA
"Aurkb",0.107142857142857
"Axin1",0.466666666666667
"Azi1",0.333333333333333
"B2M",0.222222222222222
"B3GALT1",NA
"B3GALT4",0
"B3GAT3",NA
"B4GALNT1",NA
"B4GALT1",0.166666666666667
"B4galt1",NA
"BABAM1",0.0676532769556025
"BACE1",0.333333333333333
"BACH1",0.225108225108225
"BACH2",0.266666666666667
"BAD",0.0952380952380952
"BAG1",0.3
"BAG2",0.282051282051282
"BAG3",0.130718954248366
"BAG4",0.380952380952381
"BAG5",0.571428571428571
"BAG6",0.0300632911392405
"BAHD1",0.0357142857142857
"BAI1",0
"BAIAP2",0.15
"BAIAP2L1",0.305555555555556
"BAK1",0.152046783625731
"BANF1",0.0862745098039216
"BANK1",0
"BANP",0.464285714285714
"BAP1",0.0681818181818182
"BARD1",0.152941176470588
"BATF",0
"BAX",0.124338624338624
"BAZ1A",0.472527472527473
"BAZ1B",0.235772357723577
"BAZ2A",0.511111111111111
"BBC3",0.666666666666667
"BBS2",1
"BBS4",0.666666666666667
"BCAN",0
"BCAP29",1
"BCAP31",0.205128205128205
"BCAR1",0.136904761904762
"BCAR3",0.0666666666666667
"BCAS1",0
"BCAT2",NA
"BCCIP",0.216666666666667
"BCHE",NA
"BCKDK",0.138888888888889
"BCL10",0.128205128205128
"BCL11A",0.466666666666667
"BCL11B",0.542857142857143
"BCL2",0.0609548167092924
"BCL2A1",0.0151515151515152
"BCL2L1",0.0620192307692308
"BCL2L10",0.666666666666667
"BCL2L11",0.137254901960784
"BCL2L12",1
"BCL2L14",NA
"BCL2L2",0.0303030303030303
"BCL3",0.212820512820513
"BCL6",0.052530779753762
"BCL6B",0.6
"BCL7C",0.538461538461538
"BCOR",0.315789473684211
"BCORL1",0.363636363636364
"BCR",0.141269841269841
"BCS1L",0.666666666666667
"BDKRB2",0
"BDNF",0
"BECN1",0.100985221674877
"BEGAIN",0.0346320346320346
"BEND7",0
"BEST1",NA
"BET1",0.6
"BET1L",0.533333333333333
"BET3",NA
"BFAR",0.155555555555556
"BGN",0
"BHLHE40",0.320512820512821
"BHLHE41",0.476190476190476
"BHMT",NA
"BICD2",0.121212121212121
"BID",0.19047619047619
"BIK",0.333333333333333
"BIN1",0.0523076923076923
"BIN3",0
"BIRC2",0.120663650075415
"BIRC3",0.154838709677419
"BIRC5",0.17
"BIRC6",0.277777777777778
"BIRC7",0.151515151515152
"BLID",1
"BLK",0.0714285714285714
"BLM",0.187755102040816
"BLMH",0.181818181818182
"BLNK",0.0714285714285714
"BLOC1S1",0.348484848484849
"BLOC1S2",0.228571428571429
"BLOC1S3",0.866666666666667
"BLZF1",0.133333333333333
"BMF",0.142857142857143
"BMI1",0.155038759689922
"BMP1",0
"BMP2",0.107142857142857
"BMP4",0.4
"BMP7",0.205128205128205
"BMPR1A",0.12
"BMPR1B",0.0229508196721311
"BMPR2",0.0336817653890825
"BMX",0.266666666666667
"BNIP1",0.333333333333333
"BNIP2",0.333333333333333
"BNIP3",0.357142857142857
"BNIP3L",0.127272727272727
"BNIPL",0.194444444444444
"BOC",0.5
"BOK",0.4
"BORA",0.142857142857143
"BPTF",0.274725274725275
"BPY2",0
"BRAF",0.242105263157895
"BRAP",0.2
"BRCA1",0.0620884748573379
"BRCA2",0.145408163265306
"BRCA2(IV)",NA
"BRCC3",0.243076923076923
"BRD1",0.111111111111111
"BRD2",0.305555555555556
"BRD4",0.0965166908563135
"BRD7",0.197044334975369
"BRD8",0.325
"BRE",0.189516129032258
"BRF1",0.256410256410256
"BRF2",0.0714285714285714
"BRIP1",0.607142857142857
"BRIX1",0.164835164835165
"BRLF1",1
"BRMS1",0.311111111111111
"BRP44",1
"BRPF1",0.333333333333333
"BRSK1",1
"BRSK2",0.5
"BRWD1",0.464285714285714
"BSCL2",0.2
"BSG",0.0849673202614379
"BSN",0.266666666666667
"BST1",NA
"BST2",1
"BTAF1",0.4
"BTBD1",0.666666666666667
"BTBD10",0.4
"BTBD2",0.0692640692640693
"BTF3",0.3
"BTG1",0.0476190476190476
"BTG2",0.128205128205128
"BTG4",1
"BTK",0.148148148148148
"BTLA",NA
"BTN2",NA
"BTRC",0.0614306328592043
"BUB1",0.303333333333333
"BUB1B",0.220483641536273
"BUB3",0.333333333333333
"BYSL",0.380952380952381
"BZRAP1",0
"BZW1",0.145454545454545
"Bach1",0.0833333333333333
"Banp",NA
"Bap1",0.5
"Bcl10",1
"Bcl2",NA
"Bcl2l11",0.380952380952381
"Bcl7b",0.508771929824561
"Bcor",0
"Bicd2",NA
"Bmi1",0.422222222222222
"Bmpr1a",NA
"Bsdc1",NA
"Bub1",0.35
"Bub1b",0.242165242165242
"Bud13",0
"C10orf10",0.3
"C10orf88",0.5
"C11orf1",NA
"C11orf30",0.311111111111111
"C11orf49",0.238095238095238
"C11orf58",0.087719298245614
"C11orf68",0.3
"C12orf44",0.0784313725490196
"C12orf62",0.333333333333333
"C14orf169",0.5
"C15orf29",0.333333333333333
"C15orf55",NA
"C15orf63",NA
"C16orf45",1
"C16orf53",0.577777777777778
"C17orf70",0.666666666666667
"C17orf79",0.111111111111111
"C19orf10",1
"C19orf25",0
"C19orf40",0.439393939393939
"C19orf57",0
"C1D",0.333333333333333
"C1GALT1",1
"C1GALT1C1",0.333333333333333
"C1QA",0.133333333333333
"C1QBP",0.0701754385964912
"C1QTNF5",NA
"C1R",0.666666666666667
"C1S",0.333333333333333
"C1orf124",0.6
"C1orf174",0
"C1orf216",0.1
"C1orf65",0
"C1orf94",0.166666666666667
"C20orf20",0.202564102564103
"C20orf24",0.0865800865800866
"C20orf27",0.4
"C20orf4",0.133333333333333
"C20orf94",0.120879120879121
"C21orf7",0
"C2orf44",0.0285714285714286
"C3",0.0303030303030303
"C3orf15",0.333333333333333
"C4A",0
"C4B",NA
"C4BPA",NA
"C4orf17",0
"C5",0
"C5AR1",0
"C5orf13",0
"C5orf22",0.333333333333333
"C5orf44",1
"C5orf54",0.2
"C6",NA
"C6orf108",NA
"C6orf15",0.333333333333333
"C6orf25",0
"C6orf47",0.333333333333333
"C7orf25",0
"C7orf26",0.4
"C7orf43",NA
"C7orf44",0.333333333333333
"C8A",0
"C8orf33",0.0492424242424242
"C9",0
"C9orf25",0
"C9orf3",NA
"C9orf46",0
"C9orf82",0
"C9orf86",0
"C9orf89",NA
"CA11",NA
"CA12",0.266666666666667
"CA2",0.166666666666667
"CA8",0.333333333333333
"CA9",0.5
"CAB39",0.254545454545455
"CABIN1",0.198529411764706
"CABLES2",0.333333333333333
"CABP1",0
"CABP2",0
"CABP4",NA
"CABP5",0
"CAC2",NA
"CACNA1A",0.0138557095078834
"CACNA1C",0.181818181818182
"CACNA1E",0
"CACNA1S",0
"CACNB1",1
"CACNB3",NA
"CACNB4",0
"CACNG2",0.333333333333333
"CACYBP",0.218181818181818
"CADM1",0.333333333333333
"CALB1",0
"CALCOCO1",0.0659340659340659
"CALCOCO2",0.0414962010520164
"CALCR",0.1
"CALCRL",0
"CALM1",0.0172426231873602
"CALM2",0.114285714285714
"CALML3",0
"CALR",0.080952380952381
"CALU",0.0666666666666667
"CAMK1",0.333333333333333
"CAMK2A",0.12
"CAMK2B",0.333333333333333
"CAMK2D",0.214285714285714
"CAMK2G",0.218181818181818
"CAMK4",0.333333333333333
"CAMKK2",0.101449275362319
"CAMLG",0.3
"CAMTA2",0
"CAND1",0.228070175438597
"CAND2",0.5
"CANX",0.0602150537634409
"CAP1",0.285714285714286
"CAP2",0.666666666666667
"CAPN1",0.142857142857143
"CAPN2",0.285714285714286
"CAPN3",0
"CAPRIN1",0.222222222222222
"CAPZA2",0.2
"CAPZB",0.128205128205128
"CARD11",0.355555555555556
"CARD14",0
"CARD6",0.333333333333333
"CARD8",0
"CARD9",0.333333333333333
"CARHSP1",0.2
"CARM1",0.21486643437863
"CARNS1",NA
"CARS",0.380952380952381
"CASC5",0.397058823529412
"CASK",0.128205128205128
"CASP1",0.186813186813187
"CASP10",0.0498974709501025
"CASP12",0
"CASP14",0.290909090909091
"CASP2",0.197628458498024
"CASP3",0.0948717948717949
"CASP4",0.037037037037037
"CASP5",NA
"CASP6",0.333333333333333
"CASP7",0.454545454545455
"CASP8",0.131944444444444
"CASP8AP2",0.4
"CASP9",0.192982456140351
"CASQ2",NA
"CASR",0.5
"CAST",0.333333333333333
"CAT",0.333333333333333
"CAT2",NA
"CAV1",0.068922305764411
"CAV2",0.476190476190476
"CAV3",0.0727272727272727
"CBFA2T2",0.2
"CBFA2T3",0.352380952380952
"CBFB",0.333333333333333
"CBL",0.0679390400227888
"CBLB",0.24901185770751
"CBLC",0.180952380952381
"CBS",0.238095238095238
"CBX1",0.152823920265781
"CBX2",0.4
"CBX3",0.123319696084161
"CBX4",0.201426024955437
"CBX5",0.134134615384615
"CBX6",0.644444444444444
"CBX7",0.257575757575758
"CBX8",0.271428571428571
"CBY1",NA
"CCAR1",0.333333333333333
"CCBL2",1
"CCBP2",0
"CCDC101",0.181818181818182
"CCDC106",0.0363636363636364
"CCDC109B",1
"CCDC112",0
"CCDC113",0.166666666666667
"CCDC120",0.0476190476190476
"CCDC130",0.266666666666667
"CCDC23",NA
"CCDC33",0.087719298245614
"CCDC47",0.242424242424242
"CCDC50",1
"CCDC53",0.032967032967033
"CCDC6",0.380952380952381
"CCDC8",0.666666666666667
"CCDC85B",0.00593507751937985
"CCDC86",0.333333333333333
"CCDC87",0.6
"CCDC92",0
"CCDC99",0.333333333333333
"CCHCR1",0.333333333333333
"CCK",0
"CCKAR",NA
"CCL11",0
"CCL14",0
"CCL18",0
"CCL2",0.272727272727273
"CCL21",0
"CCL22",0
"CCL23",NA
"CCL3",0
"CCL3L1",0
"CCL4",NA
"CCL5",0.0545454545454545
"CCL7",0
"CCNA1",0.120708748615725
"CCNA2",0.169287696577243
"CCNB1",0.122727272727273
"CCNB1IP1",NA
"CCNB2",0.285714285714286
"CCNB3",NA
"CCND1",0.129943502824859
"CCND2",0.295238095238095
"CCND3",0.0779220779220779
"CCNDBP1",0.238095238095238
"CCNE1",0.130612244897959
"CCNE2",0.361111111111111
"CCNF",0.7
"CCNG1",0.333333333333333
"CCNG2",0.666666666666667
"CCNH",0.292397660818713
"CCNK",0.080952380952381
"CCNL1",NA
"CCNL2",0
"CCNO",0.0666666666666667
"CCNT1",0.120731707317073
"CCNT2",0.380952380952381
"CCP110",0.6
"CCR1",0
"CCR10",0
"CCR3",0.0476190476190476
"CCR4",0
"CCR5",0.102564102564103
"CCR6",NA
"CCR7",NA
"CCS",0.333333333333333
"CCT2",0.15647226173542
"CCT3",0.155049786628734
"CCT5",0.146160962072155
"CCT7",0.142642642642643
"CD101",0
"CD14",0
"CD151",0.533333333333333
"CD163",NA
"CD180",0
"CD19",0.181818181818182
"CD1D",0.1
"CD2",0.0897435897435897
"CD200",NA
"CD209",NA
"CD22",0.272727272727273
"CD226",0
"CD24",0
"CD247",0.124183006535948
"CD27",0.19047619047619
"CD28",0.0476190476190476
"CD2AP",0.124137931034483
"CD2BP2",0.11231884057971
"CD33",0.833333333333333
"CD34",0
"CD36",0.0454545454545455
"CD38",NA
"CD3D",0.464285714285714
"CD3E",0
"CD3EAP",0.254545454545455
"CD3G",0.333333333333333
"CD4",0.0442097026604069
"CD40",0.0707692307692308
"CD40LG",0
"CD44",0.138528138528139
"CD46",0.272727272727273
"CD47",0.666666666666667
"CD48",0.166666666666667
"CD5",0.19047619047619
"CD53",0.333333333333333
"CD55",NA
"CD58",0
"CD59",0
"CD63",0.241758241758242
"CD7",0
"CD72",0.6
"CD74",1
"CD79A",0.222222222222222
"CD79B",0.428571428571429
"CD80",0
"CD81",0.157894736842105
