"Operon_ID","Gene","Product"
3,"nrtD","nitrate transport protein subunit NrtD"
3,"nrtC","nitrate transport protein subunit NrtC"
11,"sll1632","hypothetical protein"
11,"prc","carboxyl-terminal protease"
27,"IAP75","chloroplast import-associated channel IAP75"
27,"prfC","peptide-chain-release factor 3"
34,"ssr2049","hypothetical protein"
34,"slr1234","protein kinase C inhibitor"
34,"slr1235","hypothetical protein"
36,"ssl2250","glycoprotein"
36,"sll1132","hypothetical protein"
38,"codA","cytosine deaminase"
38,"sll1130","hypothetical protein"
46,"menB","naphthoate synthase"
46,"pntA","NAD(P) transhydrogenase subunit alpha"
46,"slr1240","hypothetical protein"
47,"slr1241","hypothetical protein"
47,"ssr2067","hypothetical protein"
50,"slr1436","hypothetical protein"
50,"slr1437","hypothetical protein"
56,"slr1440","hypothetical protein"
56,"sll1359","hypothetical protein"
57,"sll1358","hypothetical protein"
57,"glgP","glycogen phosphorylase"
60,"sll1355","hypothetical protein"
60,"slr1442","hypothetical protein"
65,"slr0722","hypothetical protein"
65,"sll1353","sensory transduction histidine kinase Hik15"
67,"cscK","fructokinase"
67,"slr1449","hypothetical protein"
70,"slr0723","hypothetical protein"
70,"cbbZp","phosphoglycolate phosphatase"
76,"slr1357","transposase"
76,"recF","RecF protein"
82,"slr1363","hypothetical protein"
82,"bioB","biotin synthetase"
83,"slr0725","hypothetical protein"
83,"bioY","BioY protein"
94,"sll1268","hypothetical protein"
94,"sll1267","hypothetical protein"
98,"mscL","large-conductance mechanosensitive channel"
98,"ruvA","Holliday junction DNA helicase"
109,"sll0872","hypothetical protein"
109,"slr0882","hypothetical protein"
113,"gap1","glyceraldehyde 3-phosphate dehydrogenase"
113,"slr0885","hypothetical protein"
117,"sll0867","hypothetical protein"
117,"fabG","3-oxoacyl-ACP reductase"
119,"slr0887","hypothetical protein"
119,"slr0888","hypothetical protein"
125,"sll0864","hypothetical protein"
125,"sll0863","hypothetical protein"
128,"sll0860","hypothetical protein"
128,"petA","apocytochrome f"
135,"dctP","C4-dicarboxylase binding protein"
135,"slr1403","integrin alpha- and beta4- subunit domain-containing protein"
143,"sll1307","hypothetical protein"
143,"sll1306","hypothetical protein"
143,"sll1305","hypothetical protein"
143,"sll1304","hypothetical protein"
144,"sll1785","hypothetical protein"
144,"sll1784","hypothetical protein"
145,"sll1783","hypothetical protein"
145,"slr1852","hypothetical protein"
146,"slr1853","hypothetical protein"
146,"slr1854","hypothetical protein"
146,"slr1855","hypothetical protein"
146,"slr1856","anti-sigma B factor antagonist"
149,"slr1859","hypothetical protein"
149,"ICFG","ICFG protein"
150,"slr1861","hypothetical protein"
150,"slr1862","hypothetical protein"
152,"ssl1328","hypothetical protein"
152,"slr1865","hypothetical protein"
162,"slr1871","transcriptional regulator"
162,"mutS","DNA mismatch repair protein"
165,"sll1770","ABC1-like"
165,"sll1769","hypothetical protein"
165,"ssl3383","hypothetical protein"
175,"cpcE","phycocyanin alpha phycocyanobilin lyase CpcE"
175,"aslB","putative arylsulfatase regulatory protein"
180,"cobI","precorrin-2methyltransferase"
180,"sll1761","hypothetical protein"
180,"thrB","homoserine kinase"
205,"murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase"
205,"sll2009","processing protease"
208,"ispG","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase"
208,"sll2007","hypothetical protein"
218,"trpE","anthranilate synthase component I"
218,"slr2144","hypothetical protein"
225,"slr1805","sensory transduction histidine kinase Hik16"
225,"csgA","cell-cell signaling protein, C-factor"
225,"sppA","protease IV"
229,"slr1809","hypothetical protein"
229,"sll1699","extracellular solute-binding protein"
236,"slr1814","hypothetical protein"
236,"slr1815","hypothetical protein"
237,"slr1816","hypothetical protein"
237,"sll1696","hypothetical protein"
242,"slr1818","hypothetical protein"
242,"sll1692","hypothetical protein"
244,"slr1819","hypothetical protein"
244,"rpoD2-V","RNA polymerase sigma factor"
248,"sll1687","sensory histidine kinase Hik17"
248,"slr1821","hypothetical protein"
252,"phoU","a negative regulator of pho regulon"
252,"sll1630","hypothetical protein"
259,"slr0742","hypothetical protein"
259,"sll1624","regulatory component of sensory transduction system Rre18"
263,"sll1621","membrane protein"
263,"slr1738","hypothetical protein"
274,"ndh","NADH dehydrogenase"
274,"slr0852","hypothetical protein"
275,"rimI","ribosomal-protein-alanine acetyltransferase"
275,"phr","deoxyribopyrimidine photolyase"
276,"ssr1238","hypothetical protein"
276,"sll0858","hypothetical protein"
276,"sll0857","hypothetical protein"
277,"rpoE","RNA polymerase sigma-E factor"
277,"sll0855","hypothetical protein"
280,"infB","translation initiation factor IF-2"
280,"slr0856","transposase"
281,"slr0857","transposase"
281,"psbC","photosystem II CP43 protein"
290,"mnmA","tRNA (5-methyl aminomethyl-2-thiouridylate)-methyltransferase"
290,"sll0843","hypothetical protein"
293,"slr0865","hypothetical protein"
293,"sll0839","hypothetical protein"
293,"pyrF","orotidine 5' monophosphate decarboxylase"
297,"slr0869","hypothetical protein"
297,"slr0870","hypothetical protein"
300,"mutS","DNA mismatch repair protein"
300,"slr1243","hypothetical protein"
301,"slr0236","hypothetical protein"
301,"sll1164","hypothetical protein"
301,"sll1163","hypothetical protein"
303,"sll1161","adenylate cyclase"
303,"sll1160","hypothetical protein"
305,"sll1158","hypothetical protein"
305,"slr1245","transcriptional regulator"
308,"slr1246","transposase"
308,"sll1157","transposase"
312,"pstS","phosphate binding protein"
312,"pstC","phosphate transport system permease protein PstC"
315,"cyp","peptidyl-prolyl cis-trans isomerase"
315,"dcoH","pterin-4a-carbinolamine dehydratase"
327,"slr1260","hypothetical protein"
327,"slr1261","hypothetical protein"
327,"slr1262","hypothetical protein"
330,"sll1961","hypothetical protein"
330,"sll1960","hypothetical protein"
330,"suhB","inositol monophosphatase"
331,"hisC","histidinol phosphate aminotransferase"
331,"arsA","arsenical resistance operon repressor"
333,"apqZ","water channel protein aquaporin Z"
333,"topA","DNA topoisomerase I"
333,"slr2059","ferredoxin"
333,"slr2060","hypothetical protein"
335,"sll1956","hypothetical protein"
335,"sll1954","hypothetical protein"
341,"sll1949","hypothetical protein"
341,"apcA","allophycocyanin a chain"
346,"serA","phosphoglycerate dehydrogenase"
346,"slr1990","hypothetical protein"
346,"cyaA","adenylate cyclase"
352,"bcp","bacterioferritin comigratory protein"
352,"slr1998","hypothetical protein"
352,"slr1999","hypothetical protein"
352,"slr2000","hypothetical protein"
354,"slr2001","hypothetical protein"
354,"cphA","cyanophycin synthetase"
355,"slr2003","hypothetical protein"
355,"sll1902","hypothetical protein"
363,"sll1613","hypothetical protein"
363,"folC","folyl-polyglutamate synthetase"
364,"sll1611","hypothetical protein"
364,"slr1715","transposase"
370,"psbM","photosystem II protein PsbM"
370,"sll1606","hypothetical protein"
371,"fabZ","(3R)-hydroxymyristoyl-ACP dehydratase"
371,"comB","2-phosphosulfolactate phosphatase"
373,"drgA","DrgA protein"
373,"aspS","aspartyl-tRNA synthetase"
379,"ssl3127","hypothetical protein"
379,"mntB","Mn transporter subunit"
379,"mntA","Mn transporter subunit"
382,"ssr2898","transposase"
382,"kaiB2","circadian clock protein KaiB"
390,"kdpA","potassium-transporting ATPase subunit A"
390,"kdpB","potassium-transporting ATPase subunit B"
393,"kdpD","potassium-transporting ATPase subunit D"
393,"sll1586","hypothetical protein"
395,"sll0254","hypothetical protein"
395,"sll0253","hypothetical protein"
399,"sll0252","hypothetical protein"
399,"ndhH","NADH dehydrogenase subunit 7"
400,"slr0262","hypothetical protein"
400,"slr0263","hypothetical protein"
402,"slr0265","transposase"
402,"dfp","bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase"
415,"slr0271","hypothetical protein"
415,"slr0272","hypothetical protein"
417,"sll0243","hypothetical protein"
417,"sll0242","hypothetical protein"
417,"sll0241","hypothetical protein"
417,"sll0240","ABC transporter"
417,"sll0238","hypothetical protein"
422,"slr2079","hypothetical protein"
422,"ssr3532","hypothetical protein"
425,"ctaD","cytochrome c oxidase subunit I"
425,"ctaE","cytochrome c oxidase subunit III"
427,"slr2084","hypothetical protein"
427,"hsp33","hypothetical protein"
428,"katG","catalase hpi"
428,"ycf44","hypothetical protein"
431,"shc","squalene-hopene cyclase"
431,"sll1985","transposase"
431,"sll1984","transposase"
440,"glpX","fructose 1,6-bisphosphatase II"
440,"slr2095","transposase"
440,"slr2096","transposase"
441,"glbN","cyanoglobin"
441,"slr2098","hybrid sensory kinase Hik21"
451,"sll1973","hypothetical protein"
451,"slr2105","hypothetical protein"
453,"apt","adenine phosphoribosyltransferase"
453,"sll1429","hypothetical protein"
460,"slr1505","hypothetical protein"
460,"sll1424","hypothetical protein"
465,"slr1507","hypothetical protein"
465,"dgdA","DGDG synthase"
469,"fabH","3-oxoacyl-ACP synthase"
469,"sll1418","hypothetical protein"
473,"slr1513","hypothetical protein"
473,"ppnK","hypothetical protein"
480,"leuB","3-isopropylmalate dehydrogenase"
480,"ssr2554","hypothetical protein"
480,"menA","1,4-dihydroxy-2-naphtoic acid prenyltransferase"
487,"slr1524","transposase"
487,"sll1411","hypothetical protein"
487,"ssl2749","hypothetical protein"
487,"lap","leucine aminopeptidase"
495,"sll1997","transposase"
495,"slr2110","hypothetical protein"
496,"slr2111","hypothetical protein"
496,"slr2112","transposase"
496,"slr2113","transposase"
496,"spsC","spore coat polysaccharide biosynthesis protein"
496,"slr2115","hypothetical protein"
496,"spsA","spore coat polysaccharide biosynthesis protein"
497,"slr2117","hypothetical protein"
497,"slr2118","hypothetical protein"
497,"slr2119","hypothetical protein"
497,"slr2120","hypothetical protein"
497,"slr2121","hypothetical protein"
