"Operon_ID","Gene","Product"
1,"murC","UDP-N-acetylmuramate:L-alanine ligase"
1,"ddlB","D-alanine:D-alanine ligase"
1,"ftsQ","Divisome assembly protein, membrane anchored protein involved in growth of wall at septum"
8,"mutT","nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP"
8,"yacG","DNA gyrase inhibitor"
8,"yacF","conserved protein"
11,"yaaI","conserved protein, UPF0412 family"
11,"hofC","assembly protein in type IV pilin biogenesis, transmembrane protein"
11,"hofB","conserved protein with nucleoside triphosphate hydrolase domain"
13,"nadC","quinolinate phosphoribosyltransferase"
13,"ampD","1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase"
17,"pdhR","DNA-binding transcriptional dual regulator"
17,"aceE","pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding"
29,"rnb","ribonuclease II"
29,"yciW","predicted oxidoreductase"
32,"ycjD","conserved protein"
32,"sapF","antimicrobial peptide transport ABC system ATP-binding protein"
32,"sapD","antimicrobial peptide transport ABC system ATP-binding protein"
32,"sapC","antimicrobial peptide transport ABC transporter permease"
32,"sapB","antimicrobial peptide transport ABC transporter permease"
34,"ymjA","predicted protein"
34,"puuP","putrescine importer"
36,"puuA","gamma-Glu-putrescine synthase"
36,"puuD","gamma-Glu-GABA hydrolase"
37,"puuR","DNA-binding transcriptional repressor for the puu divergon"
37,"puuC","gamma-Glu-gamma-aminobutyraldehyde dehydrogenase, NAD(P)H-dependent"
37,"puuB","gamma-Glu-putrescine oxidase, FAD/NAD(P)-binding"
38,"puuE","GABA aminotransferase, PLP-dependent"
38,"pspF","DNA-binding transcriptional activator"
40,"pspA","regulatory protein for phage-shock-protein operon"
40,"pspB","DNA-binding transcriptional regulator of psp operon"
40,"pspC","DNA-binding transcriptional activator"
42,"pspE","thiosulfate:cyanide sulfurtransferase (rhodanese)"
42,"ycjM","predicted glucosyltransferase"
42,"ycjN","predicted sugar transporter subunit: periplasmic-binding component of ABC superfamily"
43,"cueO","multicopper oxidase (laccase)"
43,"ycjO","predicted sugar transporter subunit: membrane component of ABC superfamily"
43,"ycjP","predicted sugar transporter subunit: membrane component of ABC superfamily"
43,"ycjQ","predicted oxidoreductase, Zn-dependent and NAD(P)-binding"
43,"ycjR","predicted enzyme"
43,"ycjS","predicted oxidoreductase, NADH-binding"
43,"ycjT","predicted hydrolase"
46,"ycjW","predicted DNA-binding transcriptional regulator"
46,"ycjX","conserved protein with nucleoside triphosphate hydrolase domain"
50,"ycjG","L-Ala-D/L-Glu epimerase"
50,"mpaA","murein peptide amidase A"
59,"fnr","DNA-binding transcriptional dual regulator, global regulator of anaerobic growth"
59,"ogt","O-6-alkylguanine-DNA:cysteine-protein methyltransferase"
59,"abgT","p-aminobenzoyl-glutamate transporter; membrane protein"
59,"abgB","p-aminobenzoyl-glutamate hydrolase, B subunit"
66,"ttcA","tRNA 2-thiocytidine biosynthesis protein"
66,"intR","Rac prophage; integrase"
67,"ydaQ","Rac prophage; conserved protein"
67,"ydaC","Rac prophage; predicted protein"
68,"ralR","Rac prophage; restriction alleviation protein"
68,"recT","Rac prophage; recombination and repair protein"
71,"racC","Rac prophage; predicted protein"
71,"ydaE","Rac prophage; conserved protein"
72,"kilR","Rac prophage; inhibitor of ftsZ, killing protein"
72,"sieB","Rac prophage; phage superinfection exclusion protein"
73,"dnaJ","chaperone Hsp40, co-chaperone with DnaK"
73,"ydaF","Rac prophage; predicted protein"
75,"racR","Rac prophage; predicted DNA-binding transcriptional regulator"
75,"ydaS","Rac prophage; predicted DNA-binding transcriptional regulator"
75,"ydaT","Rac prophage; predicted protein"
75,"ydaU","Rac prophage; conserved protein"
81,"insH","IS5 transposase and trans-activator"
81,"stfR","Rac prophage; predicted tail fiber protein"
92,"ldhA","fermentative D-lactate dehydrogenase, NAD-dependent"
92,"ydbH","predicted protein"
92,"ynbE","lipoprotein"
94,"feaR","DNA-binding transcriptional activator for tynA and feaB"
94,"feaB","phenylacetaldehyde dehydrogenase"
98,"yadE","predicted polysaccharide deacetylase lipoprotein"
98,"paaA","ring 1,2-phenylacetyl-CoA epoxidase subunit"
